Mon May  5 09:34:26 -10 2025 | GPU:  | CPU: CPU usage: 4.98% user, 9.96% sys, 85.5% idle 
Mon May  5 09:34:37 -10 2025 | GPU:  | CPU: CPU usage: 4.19% user, 9.92% sys, 85.87% idle 
Mon May  5 09:34:47 -10 2025 | GPU:  | CPU: CPU usage: 5.83% user, 10.0% sys, 84.16% idle 
Mon May  5 09:34:58 -10 2025 | GPU:  | CPU: CPU usage: 4.63% user, 10.42% sys, 84.94% idle 
Mon May  5 09:35:08 -10 2025 | GPU:  | CPU: CPU usage: 2.67% user, 9.16% sys, 88.16% idle 
Mon May  5 09:35:19 -10 2025 | GPU:  | CPU: CPU usage: 4.90% user, 10.18% sys, 84.90% idle 
Mon May  5 09:35:30 -10 2025 | GPU:  | CPU: CPU usage: 16.80% user, 11.47% sys, 71.72% idle 
Mon May  5 09:35:40 -10 2025 | GPU:  | CPU: CPU usage: 15.0% user, 11.15% sys, 73.84% idle 
Mon May  5 09:35:51 -10 2025 | GPU:  | CPU: CPU usage: 13.89% user, 12.35% sys, 73.74% idle 
Mon May  5 09:36:01 -10 2025 | GPU:  | CPU: CPU usage: 13.41% user, 9.75% sys, 76.82% idle 
Mon May  5 09:36:12 -10 2025 | GPU:  | CPU: CPU usage: 12.40% user, 11.20% sys, 76.40% idle 
Mon May  5 09:36:22 -10 2025 | GPU:  | CPU: CPU usage: 12.69% user, 9.52% sys, 77.77% idle 
Mon May  5 09:36:33 -10 2025 | GPU:  | CPU: CPU usage: 13.70% user, 9.27% sys, 77.1% idle 
Mon May  5 09:36:43 -10 2025 | GPU:  | CPU: CPU usage: 10.75% user, 9.56% sys, 79.68% idle 
Mon May  5 09:36:54 -10 2025 | GPU:  | CPU: CPU usage: 2.25% user, 9.2% sys, 88.72% idle 
Mon May  5 09:37:04 -10 2025 | GPU:  | CPU: CPU usage: 2.94% user, 9.55% sys, 87.50% idle 
Mon May  5 09:37:15 -10 2025 | GPU:  | CPU: CPU usage: 1.85% user, 9.66% sys, 88.47% idle 
Mon May  5 09:37:25 -10 2025 | GPU:  | CPU: CPU usage: 2.58% user, 9.22% sys, 88.19% idle 
Mon May  5 09:37:36 -10 2025 | GPU:  | CPU: CPU usage: 9.19% user, 10.72% sys, 80.7% idle 
Mon May  5 09:37:46 -10 2025 | GPU:  | CPU: CPU usage: 6.74% user, 11.61% sys, 81.64% idle 
Mon May  5 09:37:57 -10 2025 | GPU:  | CPU: CPU usage: 8.61% user, 10.86% sys, 80.52% idle 
Mon May  5 09:38:07 -10 2025 | GPU:  | CPU: CPU usage: 5.57% user, 9.44% sys, 84.97% idle 
Mon May  5 09:38:18 -10 2025 | GPU:  | CPU: CPU usage: 42.38% user, 27.16% sys, 30.45% idle 
Mon May  5 09:38:28 -10 2025 | GPU:  | CPU: CPU usage: 3.57% user, 9.52% sys, 86.90% idle 
Mon May  5 09:38:39 -10 2025 | GPU:  | CPU: CPU usage: 2.29% user, 9.19% sys, 88.50% idle 
Mon May  5 09:38:50 -10 2025 | GPU:  | CPU: CPU usage: 4.66% user, 10.50% sys, 84.82% idle 
Mon May  5 09:39:00 -10 2025 | GPU:  | CPU: CPU usage: 3.39% user, 9.81% sys, 86.79% idle 
Mon May  5 09:39:11 -10 2025 | GPU:  | CPU: CPU usage: 3.93% user, 9.5% sys, 87.0% idle 
Mon May  5 09:39:21 -10 2025 | GPU:  | CPU: CPU usage: 3.16% user, 9.88% sys, 86.95% idle 
Mon May  5 09:39:32 -10 2025 | GPU:  | CPU: CPU usage: 2.99% user, 9.73% sys, 87.26% idle 
Mon May  5 09:39:42 -10 2025 | GPU:  | CPU: CPU usage: 1.93% user, 8.91% sys, 89.14% idle 
Mon May  5 09:39:53 -10 2025 | GPU:  | CPU: CPU usage: 5.88% user, 10.58% sys, 83.52% idle 
Mon May  5 09:40:03 -10 2025 | GPU:  | CPU: CPU usage: 7.63% user, 10.68% sys, 81.67% idle 
Mon May  5 09:40:14 -10 2025 | GPU:  | CPU: CPU usage: 8.84% user, 9.61% sys, 81.53% idle 
Mon May  5 09:40:24 -10 2025 | GPU:  | CPU: CPU usage: 5.55% user, 10.74% sys, 83.70% idle 
